,Question,Category,Sample
6,Do you own up to your mistakes when you make them?,Morality and Ethics,"I do own up to them. It is important to be able to do so, and as a team member working at Ikea, this was something we were constantly told to do. Only when you can be open about these issues can others be open with you."
7,What is the biggest mistake you’ve made as part of your job? How did you correct it?,Morality and Ethics,"As an Intern at Microsoft, I was in charge of a new project that included building a new platform for designers. I made a mistake in initially noting the frameworks that we would need, and had it not been corrected would have been problematic. That is why I constantly check my criteria to make sure nothing falls through."
8,Have you ever been part of an ethically questionable business? How did you handle it?,Morality and Ethics,I have not been a part of a business of that nature. My work as a Designer has allowed me to choose the clients I work with. That is something that would not fly with my values.
9,Have you ever violated company policy to solve a problem or do your job?,Morality and Ethics,"I have not violated policy in any of my jobs at Apple, Microsoft, or Tesla. I believe company policies are created to protect everyone. It's important to make sure as employees we keep working towards maintaining those policies too."
10,Have you ever been told to violate safety regulations to do your job? Did you?,Morality and Ethics,"I have had this occur while I interned as a Senior Architect. The time regulations that were set out by the organization before clients could request a review was too long for the scope of our project. We worked around it after I brought the issue up with my managers, and were able to provide a solution that really worked for everyone."
11,Have you ever intentionally violated safety policies to do your job?,Morality and Ethics,"I have not had this happen to me at my time working at Amazon or Microsoft. My work must follow the core values of my organization first. Also, bending rules is against the way that I would work."
12,"Have you ever been asked to perform a task that goes against your personal values, but not company or legal regulations? Did you do it?",Morality and Ethics,"I have not had this happen to me at my time working at Amazon or Microsoft. However, if it did I would make sure I am following the core values of my organization first. Also, bending rules is against the way that I would work."
0,Have you ever calmed down an angry customer? How?,Interactions,"This has not had this happen during my time as a Customer Representative. At the end of the day, I have found that upset customers just want to have their problems solved. I work to solve the issue, and I have not had any issues diffusing the situation."
1,Have you ever been unable to calm down a customer? Why not?,Interactions,"I have not had this happen during my time as a Customer Representative. At the end of the day, I have found that upset customers just want to have their problems solved. I work to solve the issue, and I have not had any issues diffusing the situation."
2,Have you ever had to deal with an irate manager? What did you do?,Interactions,"While I worked as an intern at a small Law firm in Los Angeles, I cam across a few managers that were more demanding of their employees. I made extra sure that my work as inline. I also did my best to communicate with them, so they did not feel unsure of what I was working on."
3,Have you ever bent company policy to satisfy a customer?,Interactions,I have had this occur while I interned as a Junior Graphic Designer. The time regulations that were set out by the organization before clients could request a review was too long for the scope of our project. We worked around it after I spoke with my supervisor.
4,Have you ever been unable to bend company policy and irritated a customer?,Interactions,"I have had to do this while I was working as an Lead Developer at Samsung. I had to follow the time regulations set out through the organization before I could onboard additional developers to take care of the user needs. It pushed the development of the project a little and was not met well with the clients. However after I brought this to attention of my lead supervisor, we were able to make things work."
5,How do you handle bring a problem to the attention of a vendor?,Interactions,"Depending on the type of problem, it is important to make the issue right in a meaningful way. While I worked at Nivea, we had a policy to bring concerns issue to the team before going to the client. This would allow the whole team to both be aware and add a voice to how the discussion is brought about."
6,What would you do if you discovered a gross mistake with a customer’s order after they’ve paid?,Interactions,"I think it would be important to make it right. Even if it wasn�t grossly out of order, customers trust is often in the balance when we interact with them. I had this happen briefly as a Project Manager at KPMG, and the client was extremely impressed we brought it to their attention."
7,Have you ever had to defend a customer to your superiors? How did you do it?,Interactions,"I have had to do this while I was working as an Instructor on record at Stanford University. I had to defend the wants of students, regarding a specific change to the curriculum they wanted to see. I think it was important to function as a mediator between the customers and organization."
8,Tell me about the best review you’ve ever gotten from a customer.,Interactions,"While I worked on a team at Amazon, one of our clients gave me a review that said, ""I went above an beyond what was required to get the project right."" That was the best review I have ever got. I think it also describes my attitude towards customer service in all the jobs I have held before."
9,Tell me about the worst review you’ve ever gotten from a customer.,Interactions,"While I worked on a team at Amazon, one of our clients gave me a review that said, ""I was too strict with deadlines"". I think what the client missed was that if we were not careful, the fines were extremely heavy. I was making sure neither of us would have been in trouble."
10,Tell me about a time you’ve had to deal with a client used to exploiting loopholes.,Interactions,"I have not had this happen to me at my time working at Amazon or Microsoft. However, if it did I would make sure I am following the core values of my organization first. Also, bending rules is against the way that I would work."
0,What do you do to verify that the work you produce is accurate and valuable?,Miscellaneous ,"I make sure to verify the final product against what was requested. While I worked at Amazon, it was important to do so to make sure technological scope has integrity. It helped us run lean throughout."
1,How do you review your work to identify errors before finalizing a project?,Miscellaneous ,"I make sure to verify the final product against what was requested. While I worked at Amazon, it was important to do so to make sure technological scope has integrity. It helped us run lean throughout."
2,What do you do when you discover a mistake made by a coworker?,Miscellaneous ,"Since all of us on the team are working together towards a single goal, I think it is important to create an environment where mistakes are learning opportunities. When this happened to me as an Amazon Intern, I notified the co-worker 1-on-1. They were very thankful and we caught a bug that could have been problematic down the line."
3,Which would you lean on to make a decision; logic or a gut feeling?,Miscellaneous ,"I believe both logic and gut have their place, and can go hand in hand. For example, while I was working at Edifier, 1 of my gut choices was pushing to adopt a microtransaction model for our application. This was before they became more common. Logically, as we started looking more into it, it made more sense."
4,Tell me about a time where your gut feelings have been wrong.,Miscellaneous ,"I had a gut feeling turn to be wrong while I worked at Nokia. I created a roadmap for future the future development of a product we were working on. Unfortunately, a software package brought in did the same, and due to the vendor relationships we decided to go with the software. It was a great learning experience at the end of the day, so I did not mind that it was not ultimately implemented."
5,Tell me about the most difficult decision you’ve had to make on the job.,Miscellaneous ,"The most difficult decision I made was scrapping a project we had all spent much time on as a team. I created a roadmap for future the future development of a product we were working on, and in doing so realized that the technological drift was significant. In addressing all the issues, we started making something that tackled too many issues."
6,What do you regret most about your previous job?,Miscellaneous ,"Honestly, I do not have any regrets from my previous job. The work was important and we made a real difference by providing healthcare services to the greater DMV area. If there was one thing, I would say that I wish I had interned earlier at the organization."
7,What would you say is your greatest challenge as a team leader?,Miscellaneous ,"The greatest challenge I face as a team leader is being flexible on deadlines with hard deadlines. For example, while I was working at Edifier, I found we had some team members who were needed by every department and so were spread very thin. My role in the team shifted from leadership to making sure they had room to be able to function correctly."
8,Have you ever had a time where you’ve proposed a solution to a problem only to have it rejected? What did you do?,Miscellaneous ,"Yes, this did happen to me while I worked at Nokia. I created a roadmap for future the future development of a product we were working on. Unfortunately, a software package brought in did the same, and due to the vendor relationships we decided to go with the software. It was a great learning experience at the end of the day, so I did not mind that it was not ultimately implemented."
9,What would you choose if you had to pick between a professional goal and a personal goal?,Miscellaneous ,"I believe both personal and professional goals have their place, and can go hand in hand. For example, while I was working at Edifier, 1 of my professional goals were to create an actionable video for my department. To improve my video editing skills, I started creating YouTube videos in my free time."
